id_escopo_autuacao,id_uf,id_amparo_legal,id_infracao,date,quantidade_autos
3,8,4,5,2021-10-01,362
2,9,1,1,2022-01-01,2022
3,12,4,3,2022-01-01,103
2,3,1,1,2021-01-01,41
3,11,4,5,2021-01-01,478
1,9,4,8,2021-02-01,1
2,9,1,1,2021-02-01,6508
3,9,4,5,2021-02-01,3275
1,3,4,6,2021-03-01,1
3,3,4,4,2021-03-01,125
3,10,4,4,2021-03-01,26
3,12,4,3,2021-03-01,46
1,6,4,6,2021-04-01,1
3,5,4,3,2021-04-01,37
3,6,4,3,2021-05-01,9
1,9,4,7,2021-07-01,4
2,12,1,1,2021-07-01,832
3,5,4,3,2021-07-01,254
3,6,4,4,2021-07-01,4
3,10,4,5,2021-07-01,223
1,12,4,6,2021-08-01,2
3,4,4,4,2021-08-01,194
3,5,4,5,2021-09-01,1446
3,9,4,4,2021-09-01,347
3,9,4,3,2021-09-01,456
3,9,4,5,2021-09-01,1894
3,12,4,5,2021-09-01,735
3,4,4,4,2021-10-01,72
3,1,4,3,2021-11-01,5
1,9,4,6,2021-12-01,4
3,3,4,5,2021-12-01,374
3,5,4,3,2021-12-01,131
3,9,4,4,2021-12-01,320
3,9,4,5,2022-01-01,803
3,10,4,4,2022-01-01,7
3,3,4,5,2021-01-01,939
3,4,4,5,2021-02-01,1
1,12,4,6,2021-03-01,2
3,6,4,4,2021-04-01,37
3,10,4,3,2021-04-01,40
3,11,4,5,2021-04-01,1013
3,5,4,5,2021-05-01,1339
3,12,4,5,2021-05-01,384
3,6,4,3,2021-06-01,11
3,8,4,5,2021-06-01,444
1,5,4,7,2021-07-01,2
3,5,4,4,2021-07-01,328
3,4,,2,2021-08-01,7
3,4,4,5,2021-08-01,458
3,8,4,4,2021-08-01,107
3,9,4,5,2021-08-01,1628
3,4,4,4,2021-09-01,143
3,10,4,3,2021-09-01,91
3,11,4,3,2021-09-01,26
3,4,4,3,2021-10-01,58
3,5,4,3,2021-10-01,148
1,12,4,6,2021-11-01,6
2,5,1,1,2021-11-01,2093
3,7,4,4,2021-11-01,40
3,12,4,3,2021-11-01,190
1,3,4,8,2021-12-01,1
1,9,4,8,2021-12-01,1
3,7,4,5,2021-12-01,232
3,9,4,4,2021-10-01,317
3,9,4,4,2021-11-01,257
2,7,1,1,2021-12-01,330
3,5,4,4,2021-12-01,192
3,10,4,3,2021-12-01,31
1,5,4,7,2022-01-01,1
3,3,4,3,2022-01-01,71
3,4,4,4,2022-01-01,126
3,9,4,4,2022-01-01,372
1,9,4,8,2021-01-01,2
1,11,4,6,2021-01-01,3
3,8,4,3,2021-01-01,33
3,12,4,3,2021-01-01,46
1,9,4,6,2021-02-01,3
3,5,4,4,2021-02-01,84
3,12,4,4,2021-02-01,50
3,12,4,5,2021-02-01,386
2,12,1,1,2021-03-01,1074
3,11,4,3,2021-03-01,81
1,5,4,6,2021-04-01,3
1,11,4,6,2021-04-01,2
2,5,1,1,2021-04-01,233
3,11,4,4,2021-04-01,238
3,12,4,4,2021-04-01,66
1,9,4,8,2021-05-01,1
2,4,1,1,2021-05-01,798
2,9,1,1,2021-05-01,3464
3,5,4,3,2021-05-01,98
3,8,4,4,2021-05-01,107
3,3,4,5,2021-06-01,593
3,4,4,4,2021-06-01,256
3,9,4,3,2021-06-01,442
3,10,4,3,2021-06-01,50
1,9,4,8,2021-07-01,1
3,3,4,4,2021-07-01,63
1,9,4,6,2021-08-01,6
3,4,4,3,2021-08-01,65
3,12,4,5,2021-08-01,403
1,12,4,6,2021-09-01,2
3,3,4,5,2021-09-01,287
3,10,4,4,2021-09-01,74
2,4,1,1,2021-10-01,1964
3,4,4,5,2021-10-01,455
1,3,4,6,2021-11-01,1
2,9,1,1,2021-11-01,4392
2,5,1,1,2021-12-01,637
3,12,4,3,2021-12-01,205
1,5,4,6,2022-01-01,3
2,3,1,1,2021-02-01,762
3,8,4,5,2021-02-01,414
2,9,1,1,2021-03-01,6943
3,3,4,3,2021-04-01,78
3,9,4,5,2021-04-01,3512
2,5,1,1,2021-05-01,1041
3,6,4,4,2021-06-01,22
3,6,4,5,2021-07-01,14
3,9,4,5,2021-07-01,2077
3,12,4,5,2021-07-01,561
2,4,1,1,2021-08-01,930
3,7,4,4,2021-08-01,46
3,12,4,3,2021-08-01,97
1,5,4,6,2021-09-01,4
3,10,4,5,2021-09-01,461
2,9,1,1,2021-10-01,3782
3,5,4,5,2021-10-01,1303
3,7,4,3,2021-10-01,63
3,8,4,4,2021-10-01,76
3,5,4,3,2021-11-01,143
1,11,4,6,2022-01-01,1
3,3,4,5,2022-01-01,238
3,4,4,3,2022-01-01,159
2,9,1,1,2022-02-01,2939
2,4,1,1,2022-02-01,840
3,4,4,3,2022-02-01,135
3,7,4,4,2022-02-01,75
1,11,4,8,2022-03-01,1
3,5,4,4,2022-03-01,290
3,7,4,3,2022-03-01,65
1,5,4,8,2022-06-01,1
1,11,4,7,2022-06-01,1
3,3,4,4,2022-06-01,232
3,3,4,3,2022-06-01,262
3,3,4,5,2022-06-01,579
3,4,4,5,2022-06-01,163
3,11,4,3,2022-06-01,174
1,10,4,6,2022-07-01,1
3,3,4,4,2022-07-01,178
3,7,4,4,2022-07-01,33
1,5,3,7,2022-08-01,2
1,9,2,8,2022-08-01,1
3,5,3,3,2022-08-01,205
3,9,3,5,2022-08-01,1099
3,10,2,3,2022-08-01,6
3,11,3,3,2022-08-01,84
3,3,3,4,2022-09-01,475
1,9,3,8,2022-10-01,5
1,9,3,7,2022-10-01,6
3,7,3,5,2022-10-01,628
3,10,3,3,2022-10-01,288
3,9,3,4,2022-11-01,421
3,10,3,5,2022-11-01,1295
1,3,3,7,2022-12-01,3
2,9,1,1,2022-12-01,1789
3,3,4,4,2022-02-01,63
1,9,4,7,2022-03-01,2
2,7,1,1,2022-03-01,2305
3,9,4,5,2022-04-01,1224
1,5,4,7,2022-05-01,2
3,5,4,5,2022-05-01,899
3,11,4,5,2022-05-01,420
3,5,4,5,2022-06-01,752
3,9,4,3,2022-07-01,864
3,11,4,3,2022-07-01,80
1,11,3,6,2022-08-01,10
3,4,2,4,2022-08-01,1
3,5,4,4,2022-08-01,1
3,7,3,4,2022-08-01,11
3,10,3,5,2022-08-01,354
3,1,4,3,2022-02-01,12
3,4,4,5,2022-03-01,438
1,12,4,7,2022-04-01,1
3,7,4,3,2022-04-01,68
2,5,1,1,2022-05-01,470
2,4,1,1,2022-06-01,472
3,4,4,3,2022-06-01,97
3,5,4,3,2022-06-01,332
1,4,4,6,2022-07-01,1
1,5,4,7,2022-07-01,1
1,9,4,6,2022-07-01,5
3,4,4,4,2022-07-01,58
3,10,4,4,2022-07-01,60
1,9,3,7,2022-09-01,1
3,10,3,4,2022-09-01,51
3,11,3,5,2022-09-01,247
1,3,3,7,2022-10-01,2
1,5,3,8,2022-10-01,3
3,8,3,4,2022-10-01,20
3,5,4,4,2022-02-01,222
3,5,4,5,2022-02-01,770
3,9,4,4,2022-02-01,319
3,12,4,4,2022-02-01,96
1,5,4,6,2022-03-01,1
3,3,4,3,2022-03-01,22
3,5,4,5,2022-03-01,1029
3,9,4,4,2022-04-01,629
3,10,4,5,2022-04-01,414
3,11,4,3,2022-05-01,214
1,3,4,6,2022-06-01,4
1,9,4,6,2022-06-01,3
1,10,4,8,2022-06-01,2
2,5,1,1,2022-07-01,2309
3,7,4,5,2022-07-01,320
3,11,4,5,2022-07-01,210
2,4,1,1,2022-08-01,55
2,7,1,1,2022-08-01,78
3,5,2,5,2022-08-01,49
1,3,3,7,2022-09-01,6
1,10,3,6,2022-09-01,1
3,5,3,5,2022-09-01,992
3,12,3,5,2022-09-01,152
1,4,3,7,2022-11-01,6
1,5,3,6,2022-11-01,8
2,7,1,1,2022-11-01,1184
2,12,1,1,2022-11-01,2402
3,10,3,4,2022-11-01,565
1,10,3,6,2022-12-01,3
3,10,3,3,2022-12-01,471
3,5,4,3,2022-04-01,281
1,9,4,7,2022-05-01,1
1,10,4,6,2022-06-01,2
2,9,1,1,2022-06-01,2191
3,10,4,3,2022-06-01,193
3,12,4,3,2022-06-01,167
2,12,1,1,2022-07-01,539
3,3,4,5,2022-07-01,323
3,5,4,3,2022-07-01,292
3,9,4,4,2022-07-01,547
3,1,3,3,2022-08-01,8
3,3,2,3,2022-08-01,18
3,3,2,5,2022-08-01,29
3,9,2,4,2022-08-01,52
3,10,2,4,2022-08-01,3
3,4,4,4,2022-02-01,126
3,3,4,5,2022-03-01,67
3,4,4,4,2022-03-01,128
3,7,4,4,2022-03-01,78
3,11,4,5,2022-03-01,607
3,12,4,5,2022-03-01,155
1,9,4,7,2022-04-01,10
2,3,1,1,2022-04-01,36
2,4,1,1,2022-04-01,1249
1,9,4,8,2022-06-01,5
2,5,1,1,2022-06-01,1164
3,9,4,3,2022-06-01,803
3,9,4,5,2022-06-01,1139
3,4,4,3,2022-07-01,83
3,5,4,5,2022-07-01,1142
3,12,3,5,2022-08-01,133
3,9,3,5,2022-09-01,627
1,5,3,7,2022-10-01,3
1,9,3,6,2022-10-01,6
3,3,3,4,2022-11-01,210
3,9,3,4,2022-12-01,227
